id,score_smog1,score_smog2,score_smartway
19574,1.0,-1.0,NON
19575,1.0,-1.0,NON
19576,1.0,-1.0,NON
19577,1.0,-1.0,NON
19578,2.0,-1.0,NON
19579,9.0,-1.0,SMARTWAY
19580,7.0,-1.0,SMARTWAY
19581,1.0,-1.0,NON
19582,1.0,-1.0,NON
19583,1.0,-1.0,NON
19584,1.0,-1.0,NON
19585,1.0,-1.0,NON
19586,1.0,-1.0,NON
19587,2.0,-1.0,SMARTWAY
19588,1.0,-1.0,NON
19589,1.0,-1.0,NON
19590,1.0,-1.0,NON
19591,1.0,-1.0,NON
19592,1.0,-1.0,NON
19593,1.0,-1.0,NON
19596,9.0,-1.0,SMARTWAY
19597,6.0,-1.0,SMARTWAY
19598,1.0,-1.0,NON
19599,1.0,-1.0,NON
19600,1.0,-1.0,NON
19601,5.0,-1.0,NON
19602,1.0,-1.0,NON
19603,1.0,-1.0,NON
19604,1.0,-1.0,NON
19605,1.0,-1.0,NON
19606,1.0,-1.0,NON
19607,5.0,-1.0,SMARTWAY
19608,1.0,-1.0,NON
19609,5.0,-1.0,SMARTWAY
19610,1.0,-1.0,NON
19611,1.0,-1.0,NON
19612,1.0,-1.0,NON
19613,1.0,-1.0,NON
19614,5.0,-1.0,SMARTWAY
19615,9.0,-1.0,SMARTWAY
19616,5.0,-1.0,SMARTWAY
19617,5.0,-1.0,SMARTWAY
19618,5.0,-1.0,SMARTWAY
19619,2.0,-1.0,NON
19620,2.0,-1.0,NON
19621,2.0,-1.0,NON
19622,2.0,-1.0,NON
19623,2.0,-1.0,NON
19624,2.0,-1.0,NON
19625,2.0,-1.0,NON
19626,2.0,-1.0,NON
19627,1.0,-1.0,NON
19628,2.0,-1.0,NON
19629,2.0,-1.0,NON
19630,2.0,-1.0,NON
19631,1.0,-1.0,NON
19632,2.0,-1.0,NON
19633,1.0,-1.0,NON
19634,1.0,-1.0,NON
19635,1.0,-1.0,NON
19636,1.0,-1.0,NON
19637,1.0,-1.0,NON
19638,9.0,-1.0,SMARTWAY
19639,9.0,-1.0,SMARTWAY
19640,2.0,-1.0,NON
19641,1.0,-1.0,NON
19642,2.0,-1.0,NON
19643,2.0,-1.0,NON
19644,1.0,-1.0,NON
19645,2.0,-1.0,NON
19646,2.0,-1.0,NON
19647,1.0,-1.0,NON
19648,2.0,-1.0,NON
19649,2.0,-1.0,NON
19650,2.0,-1.0,NON
19651,2.0,-1.0,NON
19652,2.0,-1.0,NON
19653,2.0,-1.0,NON
19654,2.0,-1.0,NON
19655,2.0,-1.0,NON
19656,2.0,-1.0,NON
19657,2.0,-1.0,NON
19658,2.0,-1.0,NON
19659,2.0,-1.0,NON
19660,2.0,-1.0,NON
19661,5.0,-1.0,NON
19662,5.0,-1.0,NON
19663,9.0,-1.0,SMARTWAY
19664,1.0,-1.0,NON
19665,2.0,-1.0,NON
19666,2.0,-1.0,NON
19667,2.0,-1.0,NON
19668,5.0,-1.0,NON
19669,5.0,-1.0,NON
19670,2.0,-1.0,NON
19671,2.0,-1.0,NON
19672,5.0,-1.0,SMARTWAY
19673,5.0,-1.0,SMARTWAY
19674,5.0,-1.0,NON
19675,1.0,-1.0,NON
19676,1.0,-1.0,NON
19677,1.0,-1.0,NON
19678,1.0,-1.0,NON
19679,1.0,-1.0,NON
19680,1.0,-1.0,NON
19681,5.0,-1.0,SMARTWAY
19682,5.0,-1.0,SMARTWAY
19685,1.0,-1.0,NON
19689,1.0,-1.0,NON
19690,1.0,-1.0,NON
19691,5.0,-1.0,SMARTWAY
19692,5.0,-1.0,SMARTWAY
19693,1.0,-1.0,NON
19694,2.0,-1.0,NON
19695,2.0,-1.0,NON
19696,1.0,-1.0,NON
19699,1.0,-1.0,NON
19700,5.0,-1.0,NON
19701,5.0,-1.0,SMARTWAY
19702,5.0,-1.0,NON
19703,1.0,-1.0,NON
19704,1.0,-1.0,NON
19705,9.0,-1.0,SMARTWAY
19706,5.0,-1.0,NON
19707,5.0,-1.0,NON
19708,1.0,-1.0,NON
19709,1.0,-1.0,NON
19710,1.0,-1.0,NON
19711,5.0,-1.0,NON
19712,5.0,-1.0,NON
19713,1.0,-1.0,NON
19714,1.0,-1.0,NON
19715,1.0,-1.0,NON
19716,1.0,-1.0,NON
19717,1.0,-1.0,NON
19718,1.0,-1.0,NON
19719,5.0,-1.0,NON
19720,1.0,-1.0,NON
19721,5.0,-1.0,NON
19722,1.0,-1.0,NON
19723,1.0,-1.0,NON
19724,1.0,-1.0,NON
19725,1.0,-1.0,NON
19726,1.0,-1.0,NON
19727,1.0,-1.0,NON
19728,1.0,-1.0,NON
19729,1.0,-1.0,NON
19730,2.0,-1.0,NON
19731,2.0,-1.0,NON
19732,1.0,-1.0,NON
19733,2.0,-1.0,NON
19734,2.0,-1.0,NON
19735,2.0,-1.0,NON
19736,2.0,-1.0,NON
19737,1.0,-1.0,NON
19738,2.0,-1.0,NON
19739,2.0,-1.0,NON
19740,1.0,-1.0,NON
19741,2.0,-1.0,NON
19742,2.0,-1.0,NON
19743,2.0,-1.0,SMARTWAY
19744,2.0,-1.0,NON
19745,2.0,-1.0,SMARTWAY
19746,2.0,-1.0,NON
19747,2.0,-1.0,SMARTWAY
19748,2.0,-1.0,SMARTWAY
19749,1.0,-1.0,NON
19750,1.0,-1.0,NON
19751,6.0,-1.0,SMARTWAY
19752,1.0,-1.0,NON
19753,1.0,-1.0,NON
19754,1.0,-1.0,NON
19755,1.0,-1.0,NON
19756,1.0,-1.0,NON
19757,1.0,-1.0,NON
19758,1.0,-1.0,NON
19759,1.0,-1.0,NON
19760,1.0,-1.0,NON
19761,5.0,-1.0,NON
19763,9.0,-1.0,SMARTWAY
19764,6.0,-1.0,SMARTWAY
19765,1.0,-1.0,NON
19766,1.0,-1.0,NON
19767,1.0,-1.0,NON
19768,1.0,-1.0,NON
19769,5.0,-1.0,NON
19770,1.0,-1.0,NON
19771,1.0,-1.0,NON
19772,1.0,-1.0,NON
19773,1.0,-1.0,NON
19774,1.0,-1.0,NON
19775,1.0,-1.0,NON
19776,2.0,-1.0,NON
19777,2.0,-1.0,NON
19778,1.0,-1.0,NON
19779,1.0,-1.0,NON
19780,1.0,-1.0,NON
19781,1.0,-1.0,NON
19782,2.0,-1.0,NON
19783,2.0,-1.0,NON
19784,2.0,-1.0,NON
19785,2.0,-1.0,NON
19786,1.0,-1.0,NON
19787,1.0,-1.0,NON
19788,1.0,-1.0,NON
19789,9.0,-1.0,SMARTWAY
19790,5.0,-1.0,NON
19791,9.0,-1.0,SMARTWAY
19792,9.0,-1.0,SMARTWAY
19793,1.0,-1.0,NON
19794,1.0,-1.0,NON
19795,5.0,-1.0,NON
19796,5.0,-1.0,NON
19797,5.0,-1.0,NON
19798,2.0,-1.0,NON
19799,2.0,-1.0,NON
19800,2.0,-1.0,NON
19801,1.0,-1.0,NON
19802,2.0,-1.0,NON
19803,2.0,-1.0,NON
19804,2.0,-1.0,NON
19805,2.0,-1.0,NON
19806,2.0,-1.0,NON
19807,2.0,-1.0,NON
19808,2.0,-1.0,NON
19809,9.0,-1.0,SMARTWAY
19810,5.0,-1.0,SMARTWAY
19811,1.0,-1.0,NON
19812,5.0,-1.0,NON
19813,7.0,-1.0,SMARTWAY
19814,2.0,-1.0,NON
19815,2.0,-1.0,NON
19816,1.0,-1.0,NON
19817,1.0,-1.0,NON
19818,5.0,-1.0,NON
19819,5.0,-1.0,NON
19820,1.0,-1.0,NON
19821,1.0,-1.0,NON
19822,1.0,-1.0,NON
19823,1.0,-1.0,NON
19824,1.0,-1.0,NON
19825,1.0,-1.0,NON
19826,1.0,-1.0,NON
19827,1.0,-1.0,NON
19828,1.0,-1.0,NON
19829,1.0,-1.0,NON
19830,2.0,-1.0,NON
19831,2.0,-1.0,NON
19832,2.0,-1.0,NON
19833,2.0,-1.0,NON
19834,2.0,-1.0,NON
19835,1.0,-1.0,NON
19836,2.0,-1.0,NON
19837,2.0,-1.0,NON
19838,2.0,-1.0,NON
19839,1.0,-1.0,NON
19840,1.0,-1.0,NON
19841,1.0,-1.0,NON
19842,1.0,-1.0,NON
19843,1.0,-1.0,NON
19844,1.0,-1.0,NON
19845,1.0,-1.0,NON
19846,2.0,-1.0,NON
19847,2.0,-1.0,NON
19848,5.0,-1.0,NON
19849,5.0,-1.0,NON
19850,1.0,-1.0,NON
19851,1.0,-1.0,NON
19852,1.0,-1.0,NON
19853,1.0,-1.0,NON
19854,2.0,-1.0,NON
19855,1.0,-1.0,NON
19856,2.0,-1.0,NON
19857,2.0,-1.0,NON
19858,2.0,-1.0,NON
19859,2.0,-1.0,NON
19860,2.0,-1.0,NON
19861,2.0,-1.0,NON
19862,1.0,-1.0,NON
19863,2.0,-1.0,NON
19864,2.0,-1.0,NON
19865,2.0,-1.0,NON
19866,2.0,-1.0,NON
19867,1.0,-1.0,NON
19868,1.0,-1.0,NON
19869,1.0,-1.0,NON
19870,2.0,-1.0,NON
19871,2.0,-1.0,NON
19872,1.0,-1.0,NON
19873,1.0,-1.0,NON
19874,1.0,-1.0,NON
19875,1.0,-1.0,NON
19876,5.0,-1.0,NON
19877,5.0,-1.0,NON
19878,1.0,-1.0,NON
19879,1.0,-1.0,NON
19880,1.0,-1.0,NON
19881,2.0,-1.0,NON
19882,2.0,-1.0,NON
19883,2.0,-1.0,NON
19884,2.0,-1.0,NON
19885,1.0,-1.0,NON
19886,1.0,-1.0,NON
19887,1.0,-1.0,NON
19888,1.0,-1.0,NON
19889,1.0,-1.0,NON
19890,1.0,-1.0,NON
19891,1.0,-1.0,NON
19892,1.0,-1.0,NON
19893,1.0,-1.0,NON
19894,2.0,-1.0,NON
19895,2.0,-1.0,NON
19896,2.0,-1.0,NON
19897,1.0,-1.0,NON
19898,1.0,-1.0,NON
19899,1.0,-1.0,NON
19900,1.0,-1.0,NON
19901,1.0,-1.0,NON
19902,1.0,-1.0,NON
19903,2.0,-1.0,NON
19904,2.0,-1.0,NON
19905,1.0,-1.0,NON
19906,1.0,-1.0,NON
19907,5.0,-1.0,SMARTWAY
19908,5.0,-1.0,SMARTWAY
19909,1.0,-1.0,NON
19910,1.0,-1.0,NON
19911,1.0,-1.0,NON
19912,1.0,-1.0,NON
19913,1.0,-1.0,NON
19914,7.0,-1.0,SMARTWAY
19915,7.0,-1.0,SMARTWAY
19916,2.0,-1.0,NON
19917,2.0,-1.0,NON
19918,2.0,-1.0,NON
19919,2.0,-1.0,NON
19920,2.0,-1.0,NON
19921,2.0,-1.0,NON
19922,2.0,-1.0,NON
19923,2.0,-1.0,NON
19924,2.0,-1.0,NON
19925,2.0,-1.0,NON
19926,2.0,-1.0,NON
19927,2.0,-1.0,NON
19928,2.0,-1.0,NON
19929,2.0,-1.0,NON
19930,2.0,-1.0,NON
19931,2.0,-1.0,NON
19932,2.0,-1.0,NON
19933,2.0,-1.0,NON
19934,5.0,-1.0,NON
19935,5.0,-1.0,NON
19936,5.0,-1.0,NON
19937,1.0,-1.0,NON
19938,2.0,-1.0,NON
19939,2.0,-1.0,NON
19940,1.0,-1.0,NON
19941,1.0,-1.0,NON
19942,2.0,-1.0,NON
19943,2.0,-1.0,NON
19944,1.0,-1.0,NON
19947,5.0,-1.0,NON
19948,1.0,-1.0,NON
19949,1.0,-1.0,NON
19950,9.0,-1.0,SMARTWAY
19951,5.0,-1.0,NON
19952,5.0,-1.0,NON
